APM,Arlington Parks,Arlington,TX
ATC,Arrowhead Towne Center,Glendale,AZ
BTC,Burbank Town Center,Burbank,CA
BWM,Broadway Mall,Hicksville,NY
CCM,Coronado Center,Albuquerque,NM
CHF,Chandler Fashion Center,Chandler,AZ
CLM,Cumberland Mall,Atlanta,GA
CRG,Galleria at Crystal Run,Middletown,NY
DBF,Danbury Fair,Danbury,CT
DBK,Deerbrook Mall,Humble,TX
DFM,Deptford Mall,Deptford,NJ
ESC,Eastridge Shopping Center,San Jose,CA
EXM,Exton Square Mall,Exton,PA
FDP,Fashion District Philadelphia,Philadelphia,PA
FFC,Fairfield Commons,Beavercreek,OH
FSM,Four Seasons Town Centre,Greensboro,NC
FVM,Fox Valley Mall,Aurora,IL
GLC,Great Lakes Crossing,Auburn Hills,MI
GLM,Great Lakes Mall,Mentor,OH
GUR,Gurnee Mills,Gurnee,IL
GVM,Grapevine Mills,Grapevine,TX
GWM,Gateway Mall,Lincoln,NE
HYM,Holyoke Mall at Ingleside,Holyoke,MA
JFM,Jefferson Mall,Louisville,KY
JSG,The Mills at Jersey Gardens,Elizabeth,NJ
LAS,Meadows Mall,Las Vegas,NV
LVO,Las Vegas South Premium Outlets,Las Vegas,NV
LWM,Lakewood Center Mall,Lakewood,CA
MCM,Millcreek Mall,Erie,PA
MEM,Maine Mall,South Portland,ME
MPM,Main Place Mall,Santa Ana,CA
MVJ,The Shops at Mission Viejo,Mission Viejo,CA
MVM,Moreno Valley Mall,Moreno Valley,CA
NRM,Northridge Mall,Salinas,CA
NRS,North Riverside Park Mall,North Riverside,IL
NSM,North Star Mall,San Antonio,TX
NWD,Northwoods Mall,Peoria,IL
PBO,Westfield Plaza Bonita,National City,CA
PCC,Park City Center,Lancaster,PA
PHM,Puente Hills Mall,City of Industry,CA
PLM,Pembroke Lakes Mall,Pembroke Pines,FL
PMM,Potomac Mills,Woodbridge,VA
PPM,Park Place Mall,Tuscon,AZ
QSM,Quail Springs Mall,Oklahoma City,OK
RNO,Meadowood Mall,Reno,NV
RVM,Westfield Galleria at Roseville,Roseville,CA
SCG,Silver City Galleria,Taunton,MA
SCM,Westfield Southcenter,Tukwila,WA
SHM,South Hill Mall,Puyallup,WA
SLM,Southland Mall,Hayward,CA
SRM,Southridge Mall,Greendale,WI
SSM,Stratford Square Mall,Bloomingdale,IL
STC,Shops at South Town,Sandy,UT
STG,Stonestown Galleria,San Francisco,CA
STM,The Mall at Stonecrest,Stonecrest,GA
SVM,Sunvalley Mall,Concord,CA
SWP,Southwest Plaza,Littleton,CO
TES,Town East Square,Wichita,KS
TMP,Promenade Temecula,Temecula,CA
TTC,Towson Town Center,Towson,MD
VCM,Vancouver Mall,Vancouver,WA
VRC,Valley River Center,Eugene,OR
